CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
21892;NOVECENTO VINHO ARG MALBEC GFA OW 750ML CX C/6;Caixa;2;109;0;0;109
21894;NOVECENTO VINHO ARG CABERNET SAUVIGNON GFA OW 750ML CX C/6;Caixa;2;268;0;0;268
21894;NOVECENTO VINHO ARG CABERNET SAUVIGNON GFA OW 750ML CX C/6;Caixa;1;179;0;0;179
21898;NOVECENTO ESPUMANTE ARGENTINO BRUT GFA OW 750ML CX C/6 NPAL;Caixa;2;42;0;0;42
21898;NOVECENTO ESPUMANTE ARGENTINO BRUT GFA OW 750ML CX C/6 NPAL;Caixa;1;28;0;0;28
21900;NOVECENTO ESPUMANTE ARGENTINO DULCE GFA OW 750ML CX C/6 NPAL;Caixa;1;102;0;0;102
21900;NOVECENTO ESPUMANTE ARGENTINO DULCE GFA OW 750ML CX C/6 NPAL;Caixa;2;153;0;0;153
21946;ORIGINAL LT 269ML SH C15 NPAL;Caixa;2;11845;0;11509;336
21946;ORIGINAL LT 269ML SH C15 NPAL;Caixa;1;7896;0;36;7860
21955;CHIVAS REGAL 12 ANOS GARRAFA VIDRO 1 L;Unidade;2;274;0;0;274
21955;CHIVAS REGAL 12 ANOS GARRAFA VIDRO 1 L;Unidade;1;182;0;0;182
21968;TRIDENT HORTELA ENVELOPE 8G CX C/21;Caixa;2;2766;0;0;2766
21968;TRIDENT HORTELA ENVELOPE 8G CX C/21;Caixa;1;1844;0;9;1835
21970;TRIDENT MENTA ENVELOPE 8G CX C/21;Caixa;2;27;0;0;27
21970;TRIDENT MENTA ENVELOPE 8G CX C/21;Caixa;1;18;0;6;12
21973;TRIDENT MELANCIA ENVELOPE 8G CX C/21;Caixa;1;8;0;4;4
21974;TRIDENT TUTTI-FRUTTI ENVELOPE 8G CX C/21;Caixa;2;2280;0;0;2280
21974;TRIDENT TUTTI-FRUTTI ENVELOPE 8G CX C/21;Caixa;1;1520;0;6;1514
22003;HALLS CEREJA ENVELOPE 28G CX C/21;Caixa;1;171;0;4;167
22003;HALLS CEREJA ENVELOPE 28G CX C/21;Caixa;2;257;0;0;257
22005;HALLS MENTA ENVELOPE 28G CX C/21;Caixa;1;204;0;2;202
22005;HALLS MENTA ENVELOPE 28G CX C/21;Caixa;2;306;0;0;306
22007;HALLS EXTRA FORTE ENVELOPE 28G CX C/21;Caixa;2;1124;0;0;1124
22007;HALLS EXTRA FORTE ENVELOPE 28G CX C/21;Caixa;1;749;0;25;724
22009;CHICLETE ADAMS HORTELA CAIXINHA 2,8G CX C/100;Caixa;2;206;0;0;206
22009;CHICLETE ADAMS HORTELA CAIXINHA 2,8G CX C/100;Caixa;1;137;0;2;135
22027;COLORADO APPIA LT SLEEK 350ML C8 CX CARTAO NPAL;Caixa;1;3;0;0;3
22027;COLORADO APPIA LT SLEEK 350ML C8 CX CARTAO NPAL;Caixa;2;40;0;11;29
